Time,Channel A
(s),(V)

-1.00004005,1.75496700
-1.00002005,1.70995200
-1.00000005,1.75496700
-0.99998005,1.70995200
-0.99996005,1.70995200
-0.99994005,1.66493700
-0.99992005,1.66493700
-0.99990005,1.66493700
-0.99988005,1.66493700
-0.99986005,1.66493700
-0.99984005,1.70995200
-0.99982005,1.70995200
-0.99980005,1.70995200
-0.99978005,1.66493700
-0.99976005,1.66493700
-0.99974005,1.66493700
-0.99972005,1.70995200
-0.99970005,1.75496700
-0.99968005,1.75496700
-0.99966005,1.75496700
-0.99964005,1.70995200
-0.99962005,1.75496700
-0.99960005,1.75496700
-0.99958005,1.75496700
-0.99956005,1.75496700
-0.99954005,1.75496700
-0.99952005,1.75496700
-0.99950005,1.75496700
-0.99948005,1.70995200
-0.99946005,1.75496700
-0.99944005,1.70995200
-0.99942005,1.75496700
-0.99940005,1.70995200
-0.99938005,1.70995200
-0.99936005,1.75496700
-0.99934005,1.70995200
-0.99932005,1.70995200
-0.99930005,1.70995200
-0.99928005,1.70995200
-0.99926005,1.70995200
-0.99924005,1.70995200
-0.99922005,1.70995200
-0.99920005,1.70995200
-0.99918005,1.75496700
-0.99916005,1.66493700
-0.99914005,1.75496700
-0.99912005,1.70995200
-0.99910005,1.75496700
-0.99908005,1.75496700
-0.99906005,1.75496700
-0.99904005,1.75496700
-0.99902005,1.70995200
-0.99900005,1.70995200
-0.99898005,1.66493700
-0.99896005,1.70995200
-0.99894005,1.70995200
-0.99892005,1.66493700
-0.99890005,1.70995200
-0.99888005,1.70995200
-0.99886005,1.66493700
-0.99884005,1.66493700
-0.99882005,1.70995200
-0.99880005,1.70995200
-0.99878005,1.70995200
-0.99876005,1.66493700
-0.99874005,1.66493700
-0.99872005,1.70995200
-0.99870005,1.70995200
-0.99868005,1.70995200
-0.99866005,1.75496700
-0.99864005,1.75496700
-0.99862005,1.75496700
-0.99860005,1.75496700
-0.99858005,1.75496700
-0.99856005,1.75496700
-0.99854005,1.70995200
-0.99852005,1.70995200
-0.99850005,1.70995200
-0.99848005,1.70995200
-0.99846005,1.66493700
-0.99844005,1.70995200
-0.99842005,1.66493700
-0.99840005,1.70995200
-0.99838005,1.66493700
-0.99836005,1.70995200
-0.99834005,1.70995200
-0.99832005,1.70995200
-0.99830005,1.66493700
-0.99828005,1.70995200
-0.99826005,1.70995200
-0.99824005,1.75496700
-0.99822005,1.75496700
-0.99820005,1.75496700
-0.99818005,1.75496700
-0.99816005,1.70995200
-0.99814005,1.75496700
-0.99812005,1.75496700
-0.99810005,1.70995200
-0.99808005,1.75496700
-0.99806005,1.70995200
-0.99804005,1.70995200
-0.99802005,1.70995200
-0.99800005,1.70995200
-0.99798005,1.70995200
-0.99796005,1.75496700
-0.99794005,1.75496700
-0.99792005,1.70995200
-0.99790005,1.75496700
-0.99788005,1.66493700
-0.99786005,1.70995200
-0.99784005,1.66493700
-0.99782005,1.70995200
-0.99780005,1.70995200
-0.99778005,1.70995200
-0.99776005,1.70995200
-0.99774005,1.75496700
-0.99772005,1.66493700
-0.99770005,1.70995200
-0.99768005,1.66493700
-0.99766005,1.75496700
-0.99764005,1.70995200
-0.99762005,1.75496700
-0.99760005,1.75496700
-0.99758005,1.75496700
-0.99756005,1.70995200
-0.99754005,1.75496700
-0.99752005,1.70995200
-0.99750005,1.75496700
-0.99748005,1.70995200
-0.99746005,1.70995200
-0.99744005,1.66493700
-0.99742005,1.70995200
-0.99740005,1.70995200
-0.99738005,1.70995200
-0.99736005,1.70995200
-0.99734005,1.70995200
-0.99732005,1.66493700
-0.99730005,1.66493700
-0.99728005,1.66493700
-0.99726005,1.66493700
-0.99724005,1.66493700
-0.99722005,1.66493700
-0.99720005,1.70995200
-0.99718005,1.70995200
-0.99716005,1.70995200
-0.99714005,1.75496700
-0.99712005,1.70995200
-0.99710005,1.70995200
-0.99708005,1.70995200
-0.99706005,1.70995200
-0.99704005,1.75496700
-0.99702005,1.70995200
-0.99700005,1.75496700
-0.99698005,1.70995200
-0.99696005,1.70995200
-0.99694005,1.70995200
-0.99692005,1.75496700
-0.99690005,1.70995200
-0.99688005,1.70995200
-0.99686005,1.70995200
-0.99684005,1.66493700
-0.99682005,1.66493700
-0.99680005,1.66493700
