Time,Channel A,Channel B
(s),(V),(V)

-5.00019979,0.50065610,0.25095370
-5.00009979,0.50065610,0.25095370
-4.99999979,0.50065610,0.25095370
-4.99989979,0.50065610,0.25095370
-4.99979979,0.50065610,0.25095370
-4.99969979,0.50065610,0.25095370
-4.99959979,0.50065610,0.25095370
-4.99949979,0.50065610,0.25095370
-4.99939979,0.50065610,0.25095370
-4.99929979,0.50065610,0.25095370
-4.99919979,0.50065610,0.25095370
-4.99909979,0.50065610,0.25095370
-4.99899979,0.49156160,0.25095370
-4.99889979,0.49156160,0.25095370
-4.99879979,0.50065610,0.25095370
-4.99869979,0.49156160,0.25095370
-4.99859979,0.50065610,0.25095370
-4.99849979,0.50065610,0.25095370
-4.99839979,0.50065610,0.25095370
-4.99829979,0.50065610,0.25095370
-4.99819979,0.49156160,0.25095370
-4.99809979,0.50065610,0.25095370
-4.99799979,0.50065610,0.25095370
-4.99789979,0.50065610,0.25095370
-4.99779979,0.50065610,0.24198130
-4.99769979,0.49156160,0.25095370
-4.99759979,0.50065610,0.25992610
-4.99749979,0.50065610,0.25095370
-4.99739979,0.50065610,0.25095370
-4.99729979,0.49156160,0.24198130
-4.99719979,0.49156160,0.25095370
-4.99709979,0.50065610,0.25095370
-4.99699979,0.50065610,0.25095370
-4.99689979,0.50065610,0.25095370
-4.99679979,0.50065610,0.25095370
-4.99669979,0.50065610,0.25095370
-4.99659979,0.50065610,0.25095370
-4.99649979,0.50065610,0.25992610
-4.99639979,0.50065610,0.25095370
-4.99629979,0.49156160,0.25095370
-4.99619979,0.50065610,0.25992610
-4.99609979,0.50065610,0.25992610
-4.99599979,0.50065610,0.25095370
-4.99589979,0.50065610,0.25095370
-4.99579979,0.50065610,0.25095370
-4.99569979,0.50065610,0.25095370
-4.99559979,0.50065610,0.25992610
-4.99549979,0.50065610,0.25095370
-4.99539979,0.50065610,0.25095370
-4.99529979,0.49156160,0.25095370
-4.99519979,0.49156160,0.25095370
-4.99509979,0.49156160,0.25095370
-4.99499979,0.49156160,0.25095370
-4.99489979,0.49156160,0.25095370
-4.99479979,0.49156160,0.25095370
-4.99469979,0.50065610,0.25095370
-4.99459979,0.50065610,0.25095370
-4.99449979,0.50065610,0.25095370
-4.99439979,0.50065610,0.25095370
-4.99429979,0.49156160,0.25095370
-4.99419979,0.50065610,0.25095370
-4.99409979,0.50065610,0.25095370
-4.99399979,0.50065610,0.25095370
-4.99389979,0.50065610,0.25992610
-4.99379979,0.49156160,0.25095370
-4.99369979,0.50065610,0.24198130
-4.99359979,0.50065610,0.25095370
-4.99349979,0.50065610,0.25095370
-4.99339979,0.50065610,0.25992610
-4.99329979,0.50065610,0.25095370
-4.99319979,0.50065610,0.25095370
-4.99309979,0.50065610,0.25095370
-4.99299979,0.50065610,0.25095370
-4.99289979,0.50065610,0.25095370
-4.99279979,0.50065610,0.25095370
-4.99269979,0.50065610,0.25095370
-4.99259979,0.50065610,0.25095370
-4.99249979,0.50065610,0.25095370
-4.99239979,0.50065610,0.25095370
-4.99229979,0.50065610,0.25095370
-4.99219979,0.50065610,0.25095370
-4.99209979,0.50065610,0.25095370
